"1","siteurl","http://localhost/folha","yes"
"2","home","http://localhost/folha","yes"
"3","blogname","Folha da Terra","yes"
"4","blogdescription","Só mais um site WordPress","yes"
"5","users_can_register","0","yes"
"6","admin_email","luizbweb@gmail.com","yes"
"7","start_of_week","0","yes"
"8","use_balanceTags","0","yes"
"9","use_smilies","1","yes"
"10","require_name_email","1","yes"
"11","comments_notify","1","yes"
"12","posts_per_rss","10","yes"
"13","rss_use_excerpt","0","yes"
"14","mailserver_url","mail.example.com","yes"
"15","mailserver_login","login@example.com","yes"
"16","mailserver_pass","password","yes"
"17","mailserver_port","110","yes"
"18","default_category","1","yes"
"19","default_comment_status","open","yes"
"20","default_ping_status","open","yes"
"21","default_pingback_flag","1","yes"
"22","posts_per_page","10","yes"
"23","date_format","j \d\e F \d\e Y","yes"
"24","time_format","H:i","yes"
"25","links_updated_date_format","j \d\e F \d\e Y, H:i","yes"
"26","comment_moderation","0","yes"
"27","moderation_notify","1","yes"
"28","permalink_structure","/index.php/%year%/%monthnum%/%day%/%postname%/","yes"
"29","gzipcompression","0","yes"
"30","hack_file","0","yes"
"31","blog_charset","UTF-8","yes"
"32","moderation_keys",,"no"
"33","active_plugins","a:1:{i:0;s:19:""jetpack/jetpack.php"";}","yes"
"34","category_base",,"yes"
"35","ping_sites","http://rpc.pingomatic.com/","yes"
"36","advanced_edit","0","yes"
"37","comment_max_links","2","yes"
"38","gmt_offset","0","yes"
"39","default_email_category","1","yes"
"40","recently_edited","a:4:{i:0;s:62:""/opt/lampp/htdocs/folha/wp-content/plugins/jetpack/jetpack.php"";i:1;s:62:""/opt/lampp/htdocs/folha/wp-content/plugins/akismet/akismet.php"";i:2;s:61:""/opt/lampp/htdocs/folha/wp-content/themes/profitmag/style.css"";i:3;s:0:"""";}","no"
"41","template","profitmag","yes"
"42","stylesheet","profitmag","yes"
"43","comment_whitelist","1","yes"
"44","blacklist_keys",,"no"
"45","comment_registration","0","yes"
"46","html_type","text/html","yes"
"47","use_trackback","0","yes"
"48","default_role","subscriber","yes"
"49","db_version","31535","yes"
"50","uploads_use_yearmonth_folders","1","yes"
"51","upload_path",,"yes"
"52","blog_public","1","yes"
"53","default_link_category","2","yes"
"54","show_on_front","posts","yes"
"55","tag_base",,"yes"
"56","show_avatars","1","yes"
"57","avatar_rating","G","yes"
"58","upload_url_path",,"yes"
"59","thumbnail_size_w","150","yes"
"60","thumbnail_size_h","150","yes"
"61","thumbnail_crop","1","yes"
"62","medium_size_w","300","yes"
"63","medium_size_h","300","yes"
"64","avatar_default","mystery","yes"
"65","large_size_w","1024","yes"
"66","large_size_h","1024","yes"
"67","image_default_link_type","file","yes"
"68","image_default_size",,"yes"
"69","image_default_align",,"yes"
"70","close_comments_for_old_posts","0","yes"
"71","close_comments_days_old","14","yes"
"72","thread_comments","1","yes"
"73","thread_comments_depth","5","yes"
"74","page_comments","0","yes"
"75","comments_per_page","50","yes"
"76","default_comments_page","newest","yes"
"77","comment_order","asc","yes"
"78","sticky_posts","a:0:{}","yes"
"79","widget_categories","a:6:{i:2;a:4:{s:5:""title"";s:0:"""";s:5:""count"";i:0;s:12:""hierarchical"";i:0;s:8:""dropdown"";i:0;}i:5;a:0:{}i:6;a:0:{}i:7;a:0:{}i:9;a:4:{s:5:""title"";s:0:"""";s:5:""count"";i:0;s:12:""hierarchical"";i:0;s:8:""dropdown"";i:0;}s:12:""_multiwidget"";i:1;}","yes"
"80","widget_text","a:2:{i:1;a:0:{}s:12:""_multiwidget"";i:1;}","yes"
"81","widget_rss","a:2:{i:1;a:0:{}s:12:""_multiwidget"";i:1;}","yes"
"82","uninstall_plugins","a:0:{}","no"
"83","timezone_string",,"yes"
"84","page_for_posts","2","yes"
"85","page_on_front","9","yes"
"86","default_post_format","0","yes"
"87","link_manager_enabled","0","yes"
"88","initial_db_version","31535","yes"
